Model Year,Make,Model,Car_or_Truck,Vehicle Class,Engine Size(L),Engine Size Rank,Cylinders,Transmission,Fuel Type,Fuel Consumption (City (L/100 km),Fuel Consumption(Hwy (L/100 km)),Fuel Consumption(Comb (L/100 km)),Fuel Consumption(Comb (mpg)),CO2 Emissions(g/km),CO2 Rating,Smog Rating,CarNumber,,
2022,GMC,Yukon 4WD (No Stop-Start),Cars,SUV: Standard,6.2,6,8,A10,4,17,12.7,15.1,19,353,3,6,1421,397.13,2.337748344
2022,GMC,Yukon XL 4WD,Cars,SUV: Standard,6.2,6,8,A10,4,16.3,12.7,14.7,19,345,3,6,1428,386.61,2.346938776
2022,GMC,Yukon XL 4WD (No Stop-Start),Cars,SUV: Standard,6.2,6,8,A10,4,17,12.7,15.1,19,353,3,6,1429,397.13,2.337748344
2022,Ram,1500 4X4 TRX,Trucks,Pickup truck: Standard,6.2,6,8,A8,4,22.4,16.5,19.8,14,465,1,1,1834,520.74,2.348484848
2022,Chrysler,300,Cars,Full-size,5.7,5.4,8,A8,3,14.7,9.4,12.3,23,289,4,3,1252,323.49,2.349593496
2022,Dodge,Challenger (MDS),Cars,Mid-size,5.7,5.4,8,A8,3,14.7,9.4,12.3,23,289,4,3,1258,323.49,2.349593496
2022,Dodge,Challenger,Cars,Mid-size,5.7,5.4,8,M6,4,15.6,10.1,13.1,22,307,3,1,1259,344.53,2.34351145
2022,Dodge,Charger (MDS),Cars,Full-size,5.7,5.4,8,A8,3,14.7,9.4,12.3,23,289,4,3,1270,323.49,2.349593496
2022,Dodge,Durango AWD,Cars,SUV: Standard,5.7,5.4,8,A8,3,16.7,10.9,14.1,20,331,3,5,1276,370.83,2.34751773
2022,Jeep,Grand Cherokee 4X4,Cars,SUV: Standard,5.7,5.4,8,A8,3,16.7,10.9,14.1,20,331,3,5,1512,370.83,2.34751773
2022,Jeep,Grand Cherokee L 4X4,Cars,SUV: Standard,5.7,5.4,8,A8,3,16.7,10.9,14.1,20,331,3,5,1514,370.83,2.34751773
2022,Jeep,Wagoneer 4X4,Cars,SUV: Standard,5.7,5.4,8,A8,3,15.6,11.7,13.8,20,323,3,5,1520,362.94,2.34057971
2022,Ram,1500,Trucks,Pickup truck: Standard,5.7,5.4,8,A8,3,16.2,10.5,13.6,21,320,3,5,1828,357.68,2.352941176
2022,Ram,1500 eTorque,Trucks,Pickup truck: Standard,5.7,5.4,8,A8,3,13,10,11.7,24,275,4,5,1829,307.71,2.35042735
2022,Ram,1500 4X4,Trucks,Pickup truck: Standard,5.7,5.4,8,A8,3,16.1,11,13.8,20,325,3,5,1832,362.94,2.355072464
2022,Ram,1500 4X4 eTorque,Trucks,Pickup truck: Standard,5.7,5.4,8,A8,3,13.4,10.5,12.1,23,284,4,5,1833,318.23,2.347107438
2022,Ram,1500 Classic,Trucks,Pickup truck: Standard,5.7,5.4,8,A8,3,15.9,11.1,13.7,21,323,3,3,1836,360.31,2.357664234
2022,Ram,1500 Classic 4X4,Trucks,Pickup truck: Standard,5.7,5.4,8,A8,3,16.2,11.6,14.1,20,330,3,3,1838,370.83,2.340425532
2022,Toyota,Sequoia 4WD,Cars,SUV: Standard,5.7,5.4,8,AS6,3,18.5,13.9,16.4,17,385,2,5,1905,431.32,2.347560976
2022,Infiniti,QX80 4WD,Cars,SUV: Standard,5.6,5.4,8,AS7,4,17.5,12.2,15.1,19,355,3,3,1489,397.13,2.350993377
2022,Nissan,Armada 4WD,Cars,SUV: Standard,5.6,5.4,8,AS7,4,17.5,12.9,15.4,18,362,2,3,1726,405.02,2.350649351
2022,Chevrolet,Silverado FFV,Trucks,Pickup truck: Standard,5.3,4.8,8,A6,3,16.2,12.3,14.5,19,341,3,3,1198,381.35,2.351724138
2022,Chevrolet,Silverado FFV,Trucks,Pickup truck: Standard,5.3,4.8,8,A6,2,21.5,16,19.1,15,321,3,3,1199,502.33,1.680628272
2022,Chevrolet,Silverado,Trucks,Pickup truck: Standard,5.3,4.8,8,A8,3,15.1,11.3,13.4,21,314,3,6,1200,352.42,2.343283582
2022,Chevrolet,Silverado,Trucks,Pickup truck: Standard,5.3,4.8,8,A10,3,14.4,11.3,13,22,304,3,6,1201,341.9,2.338461538
2022,Chevrolet,Silverado 4WD FFV,Trucks,Pickup truck: Standard,5.3,4.8,8,A6,3,16.5,12.8,14.8,19,347,3,3,1207,389.24,2.344594595
2022,Chevrolet,Silverado 4WD FFV,Trucks,Pickup truck: Standard,5.3,4.8,8,A6,2,22,16.4,19.5,14,326,3,3,1208,512.85,1.671794872
2022,Chevrolet,Silverado 4WD Mud Terrain Tire FFV,Trucks,Pickup truck: Standard,5.3,4.8,8,A6,3,17.4,14.7,16.2,17,380,2,3,1209,426.06,2.345679012
2022,Chevrolet,Silverado 4WD Mud Terrain Tire FFV,Trucks,Pickup truck: Standard,5.3,4.8,8,A6,2,23.1,19.6,21.5,13,358,2,3,1210,565.45,1.665116279
2022,Chevrolet,Silverado 4WD,Trucks,Pickup truck: Standard,5.3,4.8,8,A8,3,15.6,11.9,13.9,20,327,3,6,1211,365.57,2.352517986
2022,Chevrolet,Silverado 4WD Mud Terrain Tire,Trucks,Pickup truck: Standard,5.3,4.8,8,A8,3,16.9,13.3,15.3,18,359,2,6,1212,402.39,2.346405229
2022,Chevrolet,Silverado 4WD,Trucks,Pickup truck: Standard,5.3,4.8,8,A10,3,14.7,11.8,13.4,21,314,3,6,1213,352.42,2.343283582
2022,Chevrolet,Silverado 4WD (No DFM),Trucks,Pickup truck: Standard,5.3,4.8,8,A10,3,16.8,12.4,14.8,19,347,3,6,1214,389.24,2.344594595
2022,Chevrolet,Silverado 4WD (With Sport Mode),Trucks,Pickup truck: Standard,5.3,4.8,8,A10,3,15.3,12.3,13.9,20,327,3,6,1215,365.57,2.352517986
